المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
toponomasiology ; toponomastics ; toponomatology toponymy	toponymie ; toponosmatique	دراسة أسماء الأماكن
toponym	toponyme	اسم مكان
total assimilation	assimilation compléte ;assimilation totale	تقريب تام
total dissimilation	dissimilation compléte	تبعيد تام
trachea	trachée	قصبة هوائية
transcription	transcription	نسخ صوتي
transfer	interférence	تداخل
transfered meaning	transfert de sens	مجاز (كما في الاستعمال المجازي)
transform	structre transformée ; structure dérivée	تركيب محول
transformation	transformation	تحويل
transformational generative grammar	grammaire transformationnelle et générative	نحو تحويلي توليدي
transformational  rule	règle  transformationnelle	قاعدة تحويلية
transitional (transitory) sound	glide ;son transitoire	صوت انتقالي
transition area	aire de transition	منطقة وسطى
transitive verb	verbe transitif	فعل متعد
transitivity	transitivité	تعدية
traduction	traduction	ترجمة
translative	translatif	انتقالي
traductor	traducteur/interpréte	مترجم
transliteration	translitération	نقل كتابي  (كما في الكتابة العربية بحروف لاتنية)
transmission	transmission	إرسال
transmutation	transposition	تحول وظيفي
transparency	transparence	شفافية
transposition	transposition	-قلب مكاني -نقل مكاني
tree diagram	arbre syntaxique	رسم مشجر
triadic theory of meaning	sens triadique	النظرية الثلاثية للمعنى
triformantic	triformantique	مثلث البواني
triliteral root	racine trilitére	جذر ثلاثي
trill	consonne roulée	صامت مكرر
trilled R	R roulée	راء مكررة
triphthong	triphtongue	مصوت مثلث
trisyllabic	trisyllabique	ثلاثي المقطع
truncation	troncation	ترخيم
trope	trope	صورة بيانية
type and token	type prononcé	المقول وجنسه
typological  classification	classification  typologique	تصنيف نوعي
typologie	typologie	التصنيفية
		
		
		
		
		
		
		
		
		
		
ultimate constituents	constituants terminaux	مكونات نهائية
ultra-violet oscillograph	oscillograph  ultra-violet	مهزاز فوق  بنفسجي
umlaut	umlaut	إمالة
unacceptable	innacceptable	غير مستحسن
unaspirated stop	occlusif non-aspiré	-حبسي -غير نفسي
unbounded noun	-nom collectif -nom massif/massique	اسم جنس جمعي
unchecked	non-fermé non-bloqué	-غير مقيد -غير مسدود
unconditional sound change	changement phonétique non-conditionné	تحول صوتي غير مسبب
uncountable noun	nom non-comptable	اسم غير معدود
under-differentiation	manque de différnciation	تمييز ناقص (كالتفريق الناقص بين القاف  والكاف عند العرب)
underlying structure	structure sous-jacente	-بنية باطنية -بنية مقدرة
understood	sous-entendu	-مقدر -مضمر
ungrammatical	non-grammatical ; agrammatical	غير نحوي
unilateral consonant	consonne unilatérale	صامت من جانب واحد
unilingual	unilingue ;monomingue	أحادي اللغة
union language	langue d’union	لغة الوحدة
union noun	nom comptable	اسم معدود (قابل للافراد والجمع)
unipersonal verbs	verbes unipersonnels	أفعال جامدة
unique constituent	constituant unique	مكون فريد
unique morpheme	morphéme unique	عنصر دال فريد
unit	unité	وحدة
unit noun	nom comptable	اسم معدود
universal grammar	grammaire universelle	النحو العام
universal language	langue universelle	لغة عالمية
universals of language	universaux du langage	كليات لغوية
universe of discourse	univers du discours	قرائن الحديث
universe of statements	univers des énoncés	السماع
unmarked member	membre non-marqué	عضو بلا علامة (جزء أو فرد غير ذي علامة)
unproductive	non-productif	غير مقيس
unrounded	non-aronndi	غير مضموم
unrounding	1-non-arrondissement 2-délabialisation	1-عدم ضم الشفتين 2-إزالة الضم
unstable	instable	-معتل -غير مستقر
unstressed	non-accentué	غير منبور
unvoiced	non-voisé	مهموس
unvoicing	non-voisement ; assourdissement	إهماس
upward comparaison	comparaison de superiorité	تفضيل التفوق
usage	usage	-استعمال -عرف لغوي
usage label	appelation lexicogrphique	تسمية الاستعمال
utternance	énoncé ;propos	-كلام -حديث
uvula	luette	لهاة
uvular	uvulaire	لهوي
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
vague	vague	مبهم
value judgement	jugement de valeur	حكم معياري
variable word	mot variable	كلمة متصرفة
vriant	varinte	بدل 1-لغة (في مستوى الاختلاف اللهجي) 2-لثغة (خاص بالنطق الفردي)
variation	variation	تصرف
variety in language	variété linguistique	تنوع اللغة
velar	vélaire	-صفاقي -مستعل
velaric (velic) closure	occlusion vélaire	انسداد الصفاق
velarization	vélarisation	-استعلاء -تفخيم
velarized	vélarisé	مفخم
velum	voile du palais, palais mou	-صفاق الشجر -أقصى الحنك
verb	verbe	فعل
verbal adjective	adjectif verbal	صفة فعلية
verbal aspect	aspect du verbe	كيفية حدوث الحدث
verbal group	groupe verbal	مجموعة فعلية
verbalization	1-verbalisation rendre verbal	1-تعبير (بالكلام) 2-تحويل الكلمة إلى "فعل"
verbal noun	nom verbal	مصدر
verbal phrase	syntagme verbal	مجموعة فعلية
verbal skill	optitude orale	مهارة لغوية (كلامية)
verb cluster	groupe verbal ; syntagme verbal	مجموعة فعلية
verbid	forme verbale non conjuguée	صيغة فعلية غير مصرفة
vernacular	langue non-standard ; langue populaire	لغة دارجة (عاصية)
verner’s law	loi de verner	قانون "فرنر" (خاص بتطوير بعض أصوات اللغات الهند-الأروبية
verse	vers	-شعر بيت شعر
vetative	hortatif	الناهي
vibrant	vibrant	-ترعيدي(أو ارتعادي) -مكرر (خاص بالراء)
vibration	vibration	1-اهتزاز 2-ارتعاد الراء
vibratory feedback	feedback vibratoire	ارتجاع اهتزازي
video-recorder	mangétoscope	-مغناط صوري (أو بصارة)
visible speech	parole visible	كلام مرئي
vocabulary	vocabulaire	مفردات اللغة
vocabulary change	changement sémantique	تحول إفرادي
vocabulary word	item lexical	كلمة معجمية
vocal bands/cords/folds	corde vocales	أوتار صوتية
vocal characterizer	ton de la voix	نغمة الصوت
vocalic alternation	alternance vocalique	تعاقب المصوتات
vocalic consonant	consonne syllabique	صامت مقطعي
vocalic mimicry	mimique vocalique	إشمام
vocalism	vocalisme	-نظام المصوتات -نظام الحركات
vocalization	vocalisation	تحويل إلى مصوت
vocalized	voisé	مجهور
vocal qualifier	ton de la voix	نغمة الصوت
vocal tract	canal vocal ;appareil vocal	-جهاز صوتي -القناة الصوتية
vocatise case	cas vocatif	المنادى
voice	1-voix  2-voisement 3-voix du verbe	1-صوت الحنجرة 2-جهر 3-بناء للمعلوم أو المجهول
voiced	sonore ;voisé	مجهور
voiceless	non-voisé ;sourd	مهموس
voiceless vowel	voyelle non-voisée ; voyelle chuchotée	مصوت مهموس
voice quality	qualité de la voix	نوعية الصوت الحنجري
voice register	registre de la voix	سجل صوتي
voicing	voisement	إجهار
volume	ampleur de la voix	جرم الصوت
vowel	voyelle	مصوت
vowel attack/begining	attaque vocalique	استهلال (ابتداء الصوت)
vowel cluster	suite vocalique ;groupe vocalique	مجموعة منساقة  من المصوتات
vowel gradation	gradation vocalique	تعاقب المصوتات
vowel harmony/mutation	harmonie vocalique ;mutation vocalique	إتباع
vowel quadrilateral	schéma quadrilatéral pour voyelles	رسم رباعي  الأضلاع للمصوتات
vowelle quality	qualité vocalique	نوعية المصوتات
vowel quantity	-quantité vocalique -durée/longueur d’une voyelle	طول (أو مد) المصوت
vowel reduction	réduction de la voyelle	اختزال المصوت
vowel shift	mutation(changement) vocalique	تحول المصوتات
vowel system	systéme vocalique	نظام المصوتات
vowel triangla	triangle vocalique	الرسم المثلث للمصوتات
vulgar	vulgaire	-مبتذل -عامي
		
		
		
		
		
		
		
		
		
		
wave form	forme de l’onde(sonore)	شكل موجة
wave theory	théorie des ondes	نظرية الأمواج (اللغوية)
weakening	affaiblissement	إضعاف
weak stress	accent faible	نبر ضعيف
well-formed-sentence	phrase bien fermée	جملة سليمة
Wernich’s area	zone (aire) de Wernicke (du cerveau)	منطقة "فرنيكا" (في الدماغ)
whisper	chuchotement	-همس -وشوشة
whispered vowel	voyelle chuchotée ; voyelle non-voisée	مصوت مهموس
whisper state	état de chuchotement	حالة همس
whistling consonant	sifflante	صامت صفيري
whorfian hypothesis	hypotése de whorf	فرضية "وورف" (نسبية)
wide diphthong	diphthongue large	مصوت مزدوج متسع
widned meaning	sens élargi	معنى موسع
widening of meaning	extension du sens	اتساع المعنى
wide vowel	voyelle large	مصوت متسع
windpipe	trachée artére	قصبة الرئة
word	mot	كلمة
word and paradigm	mot-et-paradigme	العنصر وانتظامه (منهج تحليلي)
word boundary	frontiére de mot	حدود الكلمة
word class	classe de mot	جنس من أجناس  الكلم
word count	statistique lexicales	إحصاء المفردات
word crossing	fusion	انصهار (صياغة واحدة)
word form	forme grammaticale d’un mot	صيغة الكلمة  (النحوية)
word formation	formation des mots	صوغ الكلمة
word –for-word-translation	traduction mot à mot ; traduction littérale	ترجمة حرفية
word fréquency	fréquence du mot	-تواتر الكلمة (كثرتها في الخطاب) -شيوع الكلمة (كثرتها جغرافيا أي انتشارها)
